Customer_ID,Gender,First_Date,First_region,First_state,First_city,Recent_Date,Last_region,Last_state,Last_city,Customer_Value,Buy_Times,Points_Earned,Points_Redeemed
129609144,M,20130130,West,Gujarat,Surat,20130216,West,Gujarat,Surat,2032,2,200,0
129627580,M,20130129,North,Delhi,Delhi,20130129,North,Delhi,Delhi,1709,1,100,0
130363481,M,20130221,West,Gujarat,Surat,20130221,West,Gujarat,Surat,523,1,10,0
49817480,M,20130222,West,Maharashtra,Pimpri-Chinchwad,20130222,West,Maharashtra,Pimpri-Chinchwad,5132,1,170,0
126343829,F,20130301,North,Delhi,Delhi,20130301,North,Delhi,Delhi,1008,1,60,0
8223758,F,20130314,West,Gujarat,Surat,20130314,West,Gujarat,Surat,2606.9,1,1140,0
131816709,M,20130318,South,Andhra Pradesh,Visakhapatnam,20130318,South,Andhra Pradesh,Visakhapatnam,1369,1,79,0
118543320,F,20130321,North,Uttar Pradesh,Kanpur,20130321,North,Uttar Pradesh,Kanpur,5690,1,360,0
131365512,M,20130323,East,West Bengal,Kolkata,20130331,East,West Bengal,Kolkata,2555,2,190,0
758571,M,20130324,South,Karnataka,Bangalore,20130325,West,Maharashtra,Thane,2677.8,3,145,0
85489184,M,20120101,West,Maharashtra,Nagpur,20120101,West,Maharashtra,Nagpur,855,1,35,0
85438231,M,20120103,West,Maharashtra,Mumbai,20121111,East,West Bengal,Bhatpara,5969,5,294,0
74053888,F,20120102,West,Gujarat,Surat,20130314,West,Gujarat,Surat,9142.497,10,639,2
7256956,M,20120102,North,Rajasthan,Jaipur,20121126,North,Rajasthan,Jaipur,8019.6,5,609,0
1610085,F,20120103,North,Delhi,Delhi,20121013,North,Delhi,Delhi,10380.199,6,1189,0
7518872,M,20120104,North,Uttar Pradesh,Kanpur,20130123,North,Uttar Pradesh,Kanpur,14587,6,865,0
8638553,M,20120103,West,Gujarat,Ahmedabad,20120103,West,Gujarat,Ahmedabad,1011,1,115,0
85438392,M,20120103,West,Gujarat,Ahmedabad,20130212,South,Telangana,Hyderabad,6065.3,5,485,0
63508964,M,20120106,West,Maharashtra,Pimpri-Chinchwad,20130222,West,Maharashtra,Pimpri-Chinchwad,145472.702,36,680,16635
23667984,F,20120107,West,Maharashtra,Nagpur,20130313,West,Maharashtra,Nagpur,19640.7,12,268,2549
84634600,M,20120108,South,Karnataka,Bangalore,20130307,South,Karnataka,Bangalore,32377.602,22,1029,1771
85207999,M,20120110,South,Andhra Pradesh,Visakhapatnam,20121229,South,Andhra Pradesh,Visakhapatnam,17202.4,13,449,0
86066230,M,20120111,West,Gujarat,Vadodara,20120111,West,Gujarat,Vadodara,900.5,1,100,0
6888521,M,20120112,West,Maharashtra,Thane,20121210,West,Maharashtra,Pimpri-Chinchwad,4588.999,4,190,0
87030390,M,20120111,East,West Bengal,Kolkata,20130302,East,West Bengal,Kolkata,33047.004,31,141,2214
85645488,M,20120111,North,Madhya Pradesh,Bhopal,20120111,North,Madhya Pradesh,Bhopal,878,1,80,0
12935950,M,20120113,West,Gujarat,Surat,20120623,West,Gujarat,Ahmedabad,18358,6,874,0
10954886,F,20120115,North,Madhya Pradesh,Indore,20130118,North,Madhya Pradesh,Indore,15426.398,13,1672,0
